  Price Date  ,  Issuer  ,  Ticker  ,  Industry  ,  Bookrunner(S)  ,  Exchange  ,  Amt+ Over. ($MM)  ,  Offer Price ($)  ,  Price Vs. Last Range  ,
07/28/2020,Vertex| Inc.,VERX,Technology,GS| MS| BAML| CITI| JEFFER,NASDAQ,462|127|500,19,Above,
07/30/2020,Vasta Platform Limited,VSTA,Technology,GS| BAML| MS| ITAU| UBS| BANCOBRA,NASDAQ,352|934|348,19,Above,
07/29/2020,AlloVir| Inc.,ALVR,Healthcare,MS| JPM| SVBLEER   | PIPERSAND,NASDAQ,276|250|000,17,Within,
07/30/2020,Vital Farms| Inc.,VITL,Consumer Goods,GS| MS| CS| JEFFER| BMO| STFL,NASDAQ,235|390|606,22,Above,
08/4/2020,Rackspace Technology| Inc.,RXT,Technology,GS| CITI| JPM| RBC| EVERCORE| BRCLY| BMO| CS| DB| HSBC,NASDAQ,703|500|000,21,Within,
07/29/2020,Li Auto Inc.,LI,Consumer Goods,GS| MS| UBS| CICC,NASDAQ,1|092|500|000,11.5,Above,
08/4/2020,BigCommerce Holdings| Inc,BIGC,Technology,MS| BRCLY| JEFFER| KEYBANC   ,NASDAQ,216|469|560,24,Above,
07/30/2020,Fathom Holdings Inc.,FTHM,Financials,ROTH,NASDAQ,34|300|000,10,Above,
